age,language,sex,production
27,Cantonese,Male,256
27,Cantonese,Male,501
27,Cantonese,Male,281
27,Cantonese,Male,384
27,Cantonese,Male,405
27,Cantonese,Female,430
27,Cantonese,Female,341
27,Cantonese,Female,190
27,Cantonese,Female,571
27,Cantonese,Female,246
27,Cantonese,Female,404
28,Cantonese,Male,604
28,Cantonese,Male,435
28,Cantonese,Male,514
28,Cantonese,Male,473
28,Cantonese,Male,190
28,Cantonese,Male,500
28,Cantonese,Male,691
28,Cantonese,Male,463
28,Cantonese,Male,143
28,Cantonese,Male,599
28,Cantonese,Female,646
28,Cantonese,Female,283
28,Cantonese,Female,434
28,Cantonese,Female,262
28,Cantonese,Female,459
28,Cantonese,Female,500
28,Cantonese,Female,533
28,Cantonese,Female,356
29,Cantonese,Male,548
29,Cantonese,Male,695
29,Cantonese,Male,700
29,Cantonese,Male,750
29,Cantonese,Male,385
29,Cantonese,Male,173
29,Cantonese,Female,763
29,Cantonese,Female,668
29,Cantonese,Female,526
29,Cantonese,Female,454
29,Cantonese,Female,697
29,Cantonese,Female,500
29,Cantonese,Female,509
30,Cantonese,Male,147
30,Cantonese,Male,571
30,Cantonese,Male,339
30,Cantonese,Male,374
30,Cantonese,Male,573
30,Cantonese,Male,550
30,Cantonese,Male,554
30,Cantonese,Male,695
30,Cantonese,Male,561
30,Cantonese,Female,405
30,Cantonese,Female,658
30,Cantonese,Female,496
30,Cantonese,Female,547
30,Cantonese,Female,650
30,Cantonese,Female,540
30,Cantonese,Female,300
30,Cantonese,Female,48
16,Cantonese,Male,16
16,Cantonese,Male,22
16,Cantonese,Male,31
16,Cantonese,Female,28
16,Cantonese,Female,12
17,Cantonese,Male,12
17,Cantonese,Male,7
17,Cantonese,Male,35
17,Cantonese,Female,55
17,Cantonese,Female,29
18,Cantonese,Male,0
18,Cantonese,Male,36
18,Cantonese,Male,28
18,Cantonese,Male,69
18,Cantonese,Female,388
19,Cantonese,Male,11
19,Cantonese,Male,7
19,Cantonese,Male,3
19,Cantonese,Female,79
19,Cantonese,Female,15
19,Cantonese,Female,36
19,Cantonese,Female,299
20,Cantonese,Male,6
20,Cantonese,Male,221
20,Cantonese,Female,75
20,Cantonese,Female,237
20,Cantonese,Female,146
20,Cantonese,Female,32
20,Cantonese,Female,42
21,Cantonese,Male,127
21,Cantonese,Male,7
21,Cantonese,Male,21
21,Cantonese,Male,36
21,Cantonese,Male,131
21,Cantonese,Male,9
21,Cantonese,Male,275
21,Cantonese,Male,352
21,Cantonese,Male,253
21,Cantonese,Female,269
21,Cantonese,Female,82
21,Cantonese,Female,170
21,Cantonese,Female,68
21,Cantonese,Female,68
21,Cantonese,Female,64
21,Cantonese,Female,122
21,Cantonese,Female,120
21,Cantonese,Female,13
22,Cantonese,Male,196
22,Cantonese,Male,122
22,Cantonese,Male,157
22,Cantonese,Male,112
22,Cantonese,Male,393
22,Cantonese,Male,16
22,Cantonese,Male,84
22,Cantonese,Male,51
22,Cantonese,Female,76
22,Cantonese,Female,152
22,Cantonese,Female,617
22,Cantonese,Female,81
22,Cantonese,Female,590
23,Cantonese,Male,557
23,Cantonese,Male,121
23,Cantonese,Male,113
23,Cantonese,Male,184
23,Cantonese,Male,61
23,Cantonese,Male,73
23,Cantonese,Male,43
23,Cantonese,Male,334
23,Cantonese,Male,36
23,Cantonese,Female,383
23,Cantonese,Female,258
23,Cantonese,Female,568
23,Cantonese,Female,60
23,Cantonese,Female,99
23,Cantonese,Female,164
23,Cantonese,Female,310
23,Cantonese,Female,191
24,Cantonese,Male,75
24,Cantonese,Male,8
24,Cantonese,Male,317
24,Cantonese,Male,278
24,Cantonese,Male,118
24,Cantonese,Male,156
24,Cantonese,Male,319
24,Cantonese,Male,432
24,Cantonese,Female,213
24,Cantonese,Female,542
24,Cantonese,Female,72
25,Cantonese,Male,208
25,Cantonese,Male,323
25,Cantonese,Male,181
25,Cantonese,Male,378
25,Cantonese,Male,328
25,Cantonese,Male,542
25,Cantonese,Male,184
25,Cantonese,Female,275
25,Cantonese,Female,369
25,Cantonese,Female,438
25,Cantonese,Female,274
26,Cantonese,Male,366
26,Cantonese,Male,183
26,Cantonese,Male,539
26,Cantonese,Male,473
26,Cantonese,Male,595
26,Cantonese,Male,468
26,Cantonese,Female,206
26,Cantonese,Female,30
26,Cantonese,Female,760
26,Cantonese,Female,545
26,Cantonese,Female,103
27,Cantonese,Male,318
27,Cantonese,Male,647
27,Cantonese,Male,448
27,Cantonese,Male,340
27,Cantonese,Female,571
27,Cantonese,Female,549
28,Cantonese,Male,26
28,Cantonese,Male,418
28,Cantonese,Male,497
28,Cantonese,Male,102
28,Cantonese,Male,478
28,Cantonese,Female,698
28,Cantonese,Female,654
28,Cantonese,Female,459
29,Cantonese,Male,631
29,Cantonese,Male,418
29,Cantonese,Male,464
29,Cantonese,Male,392
29,Cantonese,Male,89
29,Cantonese,Male,686
29,Cantonese,Female,361
29,Cantonese,Female,478
29,Cantonese,Female,681
29,Cantonese,Female,451
30,Cantonese,Male,393
30,Cantonese,Male,677
30,Cantonese,Male,551
30,Cantonese,Male,236
30,Cantonese,Female,793
30,Cantonese,Female,596
16,Cantonese,Male,89
16,Cantonese,Male,2
16,Cantonese,Male,10
16,Cantonese,Male,9
16,Cantonese,Male,70
16,Cantonese,Male,21
16,Cantonese,Male,73
16,Cantonese,Male,44
16,Cantonese,Male,10
16,Cantonese,Male,9
16,Cantonese,Female,26
16,Cantonese,Female,45
16,Cantonese,Female,5
16,Cantonese,Female,16
16,Cantonese,Female,15
16,Cantonese,Female,30
16,Cantonese,Female,60
16,Cantonese,Female,103
16,Cantonese,Female,10
16,Cantonese,Female,4
16,Cantonese,Female,44
16,Cantonese,Female,29
16,Cantonese,Female,18
17,Cantonese,Male,47
17,Cantonese,Male,5
17,Cantonese,Male,20
17,Cantonese,Male,86
17,Cantonese,Male,5
17,Cantonese,Male,264
17,Cantonese,Male,43
17,Cantonese,Male,19
17,Cantonese,Male,176
17,Cantonese,Female,11
17,Cantonese,Female,103
17,Cantonese,Female,32
17,Cantonese,Female,119
17,Cantonese,Female,135
17,Cantonese,Female,270
17,Cantonese,Female,35
17,Cantonese,Female,15
17,Cantonese,Female,56
18,Cantonese,Male,62
18,Cantonese,Male,6
18,Cantonese,Male,28
18,Cantonese,Male,182
18,Cantonese,Male,16
18,Cantonese,Male,26
18,Cantonese,Male,26
18,Cantonese,Male,1
18,Cantonese,Male,19
18,Cantonese,Female,155
18,Cantonese,Female,113
18,Cantonese,Female,162
18,Cantonese,Female,116
18,Cantonese,Female,74
18,Cantonese,Female,51
18,Cantonese,Female,7
18,Cantonese,Female,178
18,Cantonese,Female,21
19,Cantonese,Male,365
19,Cantonese,Male,223
19,Cantonese,Male,40
19,Cantonese,Male,115
19,Cantonese,Male,2
19,Cantonese,Male,144
19,Cantonese,Male,52
19,Cantonese,Male,9
19,Cantonese,Male,250
19,Cantonese,Male,134
19,Cantonese,Male,37
19,Cantonese,Male,21
19,Cantonese,Female,226
19,Cantonese,Female,76
19,Cantonese,Female,25
19,Cantonese,Female,26
19,Cantonese,Female,73
19,Cantonese,Female,44
19,Cantonese,Female,156
19,Cantonese,Female,29
20,Cantonese,Male,247
20,Cantonese,Male,115
20,Cantonese,Male,8
20,Cantonese,Male,93
